[lock] adquirido por ocrmypdf-fase4
===================== RapidOCR (GPU) / matriz =====================
{"evento": "fin", "vram_pico_MiB": 4047, "coste_propio_MiB": 2415}

===================== PaddleOCR (GPU) / matriz =====================
WARNING: Logging before InitGoogleLogging() is written to STDERR
W0820 23:07:51.675209 41632 gpu_resources.cc:114] Please NOTE: device: 0, GPU Compute Capability: 8.6, Driver API Version: 12.8, Runtime API Version: 12.6
{"etiqueta": "paddleocr_cuda_m", "carga_s": 33.64, "vram_base_MiB": 1640, "vram_tras_carga_MiB": 2125}
W0820 23:08:04.014561 41632 gpu_resources.cc:243] WARNING: device: 0. The installed Paddle is compiled with CUDNN 9.9, but CUDNN version in your machine is 9.5, which may cause serious incompatible bug. Please recompile or reinstall Paddle with compatible CUDNN version.
m_ppp100__escaneado_d1                       CER=   0.0%  dist=   0  frases=3/3
m_ppp100__escaneado_d2                       CER=   0.0%  dist=   0  frases=3/3
m_ppp100__escaneado_d3                       CER=   2.5%  dist=   2  frases=2/3
m_ppp100__patologico_escaneado               CER=   0.0%  dist=   0  frases=3/3
m_ppp100_ds__escaneado_d1                    CER=   0.0%  dist=   0  frases=3/3
m_ppp100_ds__escaneado_d2                    CER=   0.0%  dist=   0  frases=3/3
m_ppp100_ds__escaneado_d3                    CER=   3.8%  dist=   3  frases=2/3
m_ppp100_ds__patologico_escaneado            CER=   0.0%  dist=   0  frases=3/3
m_ppp125__escaneado_d1                       CER=   0.0%  dist=   0  frases=3/3
m_ppp125__escaneado_d2                       CER=   0.0%  dist=   0  frases=3/3
m_ppp125__escaneado_d3                       CER=   5.1%  dist=   4  frases=2/3
m_ppp125__patologico_escaneado               CER=   0.0%  dist=   0  frases=3/3
m_ppp125_ds__escaneado_d1                    CER=   0.0%  dist=   0  frases=3/3
m_ppp125_ds__escaneado_d2                    CER=   0.0%  dist=   0  frases=3/3
m_ppp125_ds__escaneado_d3                    CER=   2.5%  dist=   2  frases=2/3
m_ppp125_ds__patologico_escaneado            CER=   0.0%  dist=   0  frases=3/3
m_ppp150__escaneado_d1                       CER=   0.0%  dist=   0  frases=3/3
m_ppp150__escaneado_d2                       CER=   0.0%  dist=   0  frases=3/3
m_ppp150__escaneado_d3                       CER=  31.6%  dist=  25  frases=2/3
m_ppp150__patologico_escaneado               CER=   0.0%  dist=   0  frases=3/3
m_ppp150_ds__escaneado_d1                    CER=   0.0%  dist=   0  frases=3/3
m_ppp150_ds__escaneado_d2                    CER=   0.0%  dist=   0  frases=3/3
m_ppp150_ds__escaneado_d3                    CER=   5.1%  dist=   4  frases=2/3
m_ppp150_ds__patologico_escaneado            CER=   0.0%  dist=   0  frases=3/3
m_ppp175__escaneado_d1                       CER=   0.0%  dist=   0  frases=3/3
m_ppp175__escaneado_d2                       CER=   0.0%  dist=   0  frases=3/3
m_ppp175__escaneado_d3                       CER=  75.9%  dist=  60  frases=1/3
m_ppp175__patologico_escaneado               CER=   0.0%  dist=   0  frases=3/3
m_ppp175_ds__escaneado_d1                    CER=   0.0%  dist=   0  frases=3/3
m_ppp175_ds__escaneado_d2                    CER=   0.0%  dist=   0  frases=3/3
m_ppp175_ds__escaneado_d3                    CER=   2.5%  dist=   2  frases=2/3
m_ppp175_ds__patologico_escaneado            CER=   0.0%  dist=   0  frases=3/3
m_ppp200__escaneado_d1                       CER=   0.0%  dist=   0  frases=3/3
m_ppp200__escaneado_d2                       CER=   0.0%  dist=   0  frases=3/3
m_ppp200__escaneado_d3                       CER=  75.9%  dist=  60  frases=1/3
m_ppp200__patologico_escaneado               CER=   0.0%  dist=   0  frases=3/3
m_ppp200_ds__escaneado_d1                    CER=   0.0%  dist=   0  frases=3/3
m_ppp200_ds__escaneado_d2                    CER=   0.0%  dist=   0  frases=3/3
m_ppp200_ds__escaneado_d3                    CER=  20.3%  dist=  16  frases=1/3
m_ppp200_ds__patologico_escaneado            CER=   0.0%  dist=   0  frases=3/3
m_ppp250__escaneado_d1                       CER=   0.0%  dist=   0  frases=3/3
m_ppp250__escaneado_d2                       CER=   0.0%  dist=   0  frases=3/3
m_ppp250__escaneado_d3                       CER=  75.9%  dist=  60  frases=1/3
m_ppp250__patologico_escaneado               CER=   0.0%  dist=   0  frases=3/3
m_ppp250_ds__escaneado_d1                    CER=   0.0%  dist=   0  frases=3/3
m_ppp250_ds__escaneado_d2                    CER=   0.0%  dist=   0  frases=3/3
m_ppp250_ds__escaneado_d3                    CER=  55.7%  dist=  44  frases=1/3
m_ppp250_ds__patologico_escaneado            CER=   0.0%  dist=   0  frases=3/3
m_ppp300__escaneado_d1                       CER=   0.0%  dist=   0  frases=3/3
m_ppp300__escaneado_d2                       CER=   0.0%  dist=   0  frases=3/3
m_ppp300__escaneado_d3                       CER=  75.9%  dist=  60  frases=1/3
m_ppp300__patologico_escaneado               CER=   0.0%  dist=   0  frases=3/3
m_ppp300_ds__escaneado_d1                    CER=   0.0%  dist=   0  frases=3/3
m_ppp300_ds__escaneado_d2                    CER=   0.0%  dist=   0  frases=3/3
m_ppp300_ds__escaneado_d3                    CER=  58.2%  dist=  46  frases=1/3
m_ppp300_ds__patologico_escaneado            CER=   0.0%  dist=   0  frases=3/3
m_ppp75__escaneado_d1                        CER=   0.0%  dist=   0  frases=3/3
m_ppp75__escaneado_d2                        CER=   0.0%  dist=   0  frases=3/3
m_ppp75__escaneado_d3                        CER=  11.4%  dist=   9  frases=1/3
m_ppp75__patologico_escaneado                CER=   0.0%  dist=   0  frases=3/3
m_ppp75_ds__escaneado_d1                     CER=   0.0%  dist=   0  frases=3/3
m_ppp75_ds__escaneado_d2                     CER=   0.0%  dist=   0  frases=3/3
m_ppp75_ds__escaneado_d3                     CER=  10.1%  dist=   8  frases=1/3
m_ppp75_ds__patologico_escaneado             CER=   0.0%  dist=   0  frases=3/3
nat__escaneado_d1                            CER=   0.0%  dist=   0  frases=3/3
nat__escaneado_d2                            CER=   0.0%  dist=   0  frases=3/3
nat__escaneado_d3                            CER=   2.5%  dist=   2  frases=2/3
nat__patologico_escaneado-001                CER= 100.0%  dist=  79  frases=0/3
nat__patologico_escaneado                    CER=   0.0%  dist=   0  frases=3/3
{"evento": "fin", "vram_pico_MiB": 12025, "coste_propio_MiB": 10385}
[lock] liberado
