
=== distintos: corr(L,R)=+0.0051
  buena_brutal brutal_highpass3k          desf=  18  ref=[+0.2450 +0.2442]  grafo=[-0.4456, -0.4454]
  buena_brutal brutal_8khz                desf=   6  ref=[+0.9757 +0.9757]  grafo=[0.7085, 0.7089]
  buena_brutal brutal_aformat_u8          desf=   0  ref=[+0.9999 +0.9999]  grafo=[0.9996, 0.9996]
  buena_brutal brutal_opus6k_mono_a_estereo desf=   6  ref=[+0.8407 +0.8412]  grafo=[0.6377, 0.6381]

=== identicos: corr(L,R)=+1.0000
  buena        opus_6k                    desf=   6  ref=[+0.9945 +0.9945]  grafo=[0.9425, 0.9425]
  mala         opus_6k                    desf=   6  ref=[+0.9946 +0.9946]  grafo=[0.9414, 0.9414]
  buena        opus_8k                    desf=   6  ref=[+0.9966 +0.9966]  grafo=[0.9471, 0.9471]
  mala         opus_8k                    desf=   6  ref=[+0.9970 +0.9970]  grafo=[0.9427, 0.9427]
  buena        opus_16k                   desf=   0  ref=[+0.9978 +0.9978]  grafo=[0.9978, 0.9978]
  mala         opus_16k                   desf=   0  ref=[+0.9980 +0.9980]  grafo=[0.998, 0.998]
  buena        opus_32k                   desf=   0  ref=[+0.9990 +0.9990]  grafo=[0.999, 0.999]
  mala         opus_32k                   desf=   0  ref=[+0.9990 +0.0137]  grafo=[0.999, 0.0137]
  buena        opus_96k                   desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         opus_96k                   desf=   0  ref=[+1.0000 +0.0080]  grafo=[1.0, 0.0]
  buena        mp3_32k                    desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         mp3_32k                    desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena        mp3_64k                    desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         mp3_64k                    desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena        mp3_192k                   desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         mp3_192k                   desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena        mp3_q9                     desf=   0  ref=[+0.9947 +0.9947]  grafo=[0.9947, 0.9947]
  mala         mp3_q9                     desf=   0  ref=[+0.9930 +0.0000]  grafo=[0.993, 0.0]
  buena        aac_32k                    desf=   0  ref=[+0.9973 +0.9973]  grafo=[0.9973, 0.9973]
  mala         aac_32k                    desf=   0  ref=[+0.9998 +0.0000]  grafo=[0.9998, 0.0]
  buena        aac_64k                    desf=   0  ref=[+0.9997 +0.9997]  grafo=[0.9997, 0.9997]
  mala         aac_64k                    desf=   0  ref=[+0.9999 +0.0000]  grafo=[0.9999, 0.0]
  buena        aac_192k                   desf=   0  ref=[+0.9999 +0.9999]  grafo=[0.9999, 0.9999]
  mala         aac_192k                   desf=   0  ref=[+0.9999 +0.0000]  grafo=[0.9999, 0.0]
  buena        flac                       desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         flac                       desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena        wav                        desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         wav                        desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena_brutal brutal_lowpass500          desf=  24  ref=[+1.0000 +1.0000]  grafo=[0.1785, 0.1785]
  buena_brutal brutal_highpass3k          desf= -51  ref=[+0.9999 +0.9999]  grafo=[-0.9786, -0.9786]
  buena_brutal brutal_8khz                desf=   6  ref=[+0.9985 +0.9985]  grafo=[0.9422, 0.9422]
  buena_brutal brutal_aformat_u8          desf=   0  ref=[+0.9997 +0.9997]  grafo=[0.9987, 0.9987]
  buena_brutal brutal_opus6k_mono_a_estereo desf=   6  ref=[+0.9945 +0.9945]  grafo=[0.9425, 0.9425]

=== desfasados: corr(L,R)=-0.0066
  buena        opus_6k                    desf=   5  ref=[+0.5887 +0.5665]  grafo=[0.4771, 0.4193]
  mala         opus_6k                    desf=   6  ref=[+0.8588 -0.0211]  grafo=[0.6393, -0.057]
  buena        opus_8k                    desf=   6  ref=[+0.6574 +0.6433]  grafo=[0.5121, 0.4471]
  mala         opus_8k                    desf=   6  ref=[+0.9339 -0.0148]  grafo=[0.6797, -0.0622]
  buena        opus_16k                   desf=  -1  ref=[+0.6984 +0.6792]  grafo=[0.6962, 0.6862]
  mala         opus_16k                   desf=   0  ref=[+0.9837 -0.0051]  grafo=[0.9837, -0.0049]
  buena        opus_32k                   desf=  -3  ref=[+0.9651 +0.9661]  grafo=[0.9071, 0.9141]
  mala         opus_32k                   desf=   0  ref=[+0.9745 +0.0004]  grafo=[0.9745, 0.0004]
  buena        opus_96k                   desf=   0  ref=[+0.9983 +0.9985]  grafo=[0.9983, 0.9985]
  mala         opus_96k                   desf=   0  ref=[+0.9975 -0.0075]  grafo=[0.9975, 0.0]
  buena        mp3_32k                    desf=   0  ref=[+0.9851 +0.9876]  grafo=[0.9851, 0.9876]
  mala         mp3_32k                    desf=   0  ref=[+0.9917 +0.0000]  grafo=[0.9917, 0.0]
  buena        mp3_64k                    desf=   0  ref=[+0.9958 +0.9965]  grafo=[0.9958, 0.9965]
  mala         mp3_64k                    desf=   0  ref=[+0.9993 +0.0000]  grafo=[0.9993, 0.0]
  buena        mp3_192k                   desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         mp3_192k                   desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena        mp3_q9                     desf=   0  ref=[+0.9984 +0.9988]  grafo=[0.9984, 0.9988]
  mala         mp3_q9                     desf=   0  ref=[+0.9984 +0.0000]  grafo=[0.9984, 0.0]
  buena        aac_32k                    desf=   0  ref=[+0.9198 +0.9189]  grafo=[0.9198, 0.9189]
  mala         aac_32k                    desf=   0  ref=[+0.9974 +0.0000]  grafo=[0.9974, 0.0]
  buena        aac_64k                    desf=   0  ref=[+0.9842 +0.9854]  grafo=[0.9842, 0.9854]
  mala         aac_64k                    desf=   0  ref=[+0.9990 +0.0000]  grafo=[0.999, 0.0]
  buena        aac_192k                   desf=   0  ref=[+0.9998 +0.9999]  grafo=[0.9998, 0.9999]
  mala         aac_192k                   desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena        flac                       desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         flac                       desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena        wav                        desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         wav                        desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena_brutal brutal_lowpass500          desf=  21  ref=[+0.8184 +0.8302]  grafo=[-0.2014, -0.1995]
  buena_brutal brutal_highpass3k          desf=  18  ref=[+0.2447 +0.2583]  grafo=[-0.4406, -0.4785]
  buena_brutal brutal_8khz                desf=   6  ref=[+0.6898 +0.6814]  grafo=[0.5235, 0.4753]
  buena_brutal brutal_aformat_u8          desf=   0  ref=[+0.9999 +0.9999]  grafo=[0.9996, 0.9996]
  buena_brutal brutal_opus6k_mono_a_estereo desf=   5  ref=[+0.5985 +0.5610]  grafo=[0.4868, 0.4116]

=== dos_voces: corr(L,R)=-0.0437
  buena        opus_6k                    desf=   6  ref=[+0.5666 +0.5306]  grafo=[0.4425, 0.4412]
  mala         opus_6k                    desf=   6  ref=[+0.8588 -0.0443]  grafo=[0.6393, -0.0389]
  buena        opus_8k                    desf=   6  ref=[+0.6193 +0.6240]  grafo=[0.469, 0.5004]
  mala         opus_8k                    desf=   6  ref=[+0.9339 -0.0447]  grafo=[0.6797, -0.0406]
  buena        opus_16k                   desf=   0  ref=[+0.6759 +0.6735]  grafo=[0.6759, 0.6735]
  mala         opus_16k                   desf=   0  ref=[+0.9837 -0.0429]  grafo=[0.9837, -0.0429]
  buena        opus_32k                   desf=  -1  ref=[+0.9644 +0.9749]  grafo=[0.9569, 0.9764]
  mala         opus_32k                   desf=   0  ref=[+0.9745 +0.0009]  grafo=[0.9745, 0.001]
  buena        opus_96k                   desf=   0  ref=[+0.9974 +0.9976]  grafo=[0.9974, 0.9976]
  mala         opus_96k                   desf=   0  ref=[+0.9975 +0.0044]  grafo=[0.9975, 0.0]
  buena        mp3_32k                    desf=   0  ref=[+0.9841 +0.9866]  grafo=[0.9841, 0.9866]
  mala         mp3_32k                    desf=   0  ref=[+0.9917 +0.0000]  grafo=[0.9917, 0.0]
  buena        mp3_64k                    desf=   0  ref=[+0.9956 +0.9970]  grafo=[0.9956, 0.997]
  mala         mp3_64k                    desf=   0  ref=[+0.9993 +0.0000]  grafo=[0.9993, 0.0]
  buena        mp3_192k                   desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         mp3_192k                   desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena        mp3_q9                     desf=   0  ref=[+0.9984 +0.9984]  grafo=[0.9984, 0.9984]
  mala         mp3_q9                     desf=   0  ref=[+0.9984 +0.0000]  grafo=[0.9984, 0.0]
  buena        aac_32k                    desf=   0  ref=[+0.9364 +0.9365]  grafo=[0.9364, 0.9365]
  mala         aac_32k                    desf=   0  ref=[+0.9974 +0.0000]  grafo=[0.9974, 0.0]
  buena        aac_64k                    desf=   0  ref=[+0.9556 +0.9602]  grafo=[0.9556, 0.9602]
  mala         aac_64k                    desf=   0  ref=[+0.9990 +0.0000]  grafo=[0.999, 0.0]
  buena        aac_192k                   desf=   0  ref=[+0.9995 +0.9999]  grafo=[0.9995, 0.9999]
  mala         aac_192k                   desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena        flac                       desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         flac                       desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena        wav                        desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         wav                        desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena_brutal brutal_lowpass500          desf=  21  ref=[+0.8181 +0.8615]  grafo=[-0.2009, -0.1691]
  buena_brutal brutal_highpass3k          desf=  18  ref=[+0.2435 +0.1693]  grafo=[-0.439, -0.4423]
  buena_brutal brutal_8khz                desf=   6  ref=[+0.6676 +0.6715]  grafo=[0.4819, 0.5222]
  buena_brutal brutal_aformat_u8          desf=   0  ref=[+0.9999 +0.9999]  grafo=[0.9996, 0.9996]
  buena_brutal brutal_opus6k_mono_a_estereo desf=   6  ref=[+0.5587 +0.5335]  grafo=[0.4442, 0.4203]

=== ruido: corr(L,R)=+0.0002
  buena        opus_6k                    desf=   6  ref=[+0.1010 +0.2670]  grafo=[0.0332, 0.2358]
  mala         opus_6k                    desf=   6  ref=[+0.1193 -0.0030]  grafo=[0.0366, -0.0041]
  buena        opus_8k                    desf=   6  ref=[+0.1606 +0.3981]  grafo=[0.044, 0.3489]
  mala         opus_8k                    desf=   7  ref=[+0.2034 -0.0016]  grafo=[0.0559, -0.0027]
  buena        opus_16k                   desf=   0  ref=[+0.2122 +0.2423]  grafo=[0.2122, 0.242]
  mala         opus_16k                   desf=   0  ref=[+0.2322 -0.0005]  grafo=[0.2322, -0.0006]
  buena        opus_32k                   desf=  -4  ref=[+0.1894 +0.6653]  grafo=[0.1306, 0.5937]
  mala         opus_32k                   desf=  -4  ref=[+0.2375 +0.0056]  grafo=[0.1387, 0.0009]
  buena        opus_96k                   desf=   0  ref=[+0.6001 +0.8690]  grafo=[0.6001, 0.8681]
  mala         opus_96k                   desf=   0  ref=[+0.6137 -0.0030]  grafo=[0.6137, 0.0]
  buena        mp3_32k                    desf=   0  ref=[+0.2768 +0.8339]  grafo=[0.2768, 0.8342]
  mala         mp3_32k                    desf=   0  ref=[+0.3882 +0.0000]  grafo=[0.3882, 0.0]
  buena        mp3_64k                    desf=   0  ref=[+0.4336 +0.8924]  grafo=[0.4336, 0.8926]
  mala         mp3_64k                    desf=   0  ref=[+0.6268 +0.0000]  grafo=[0.6268, 0.0]
  buena        mp3_192k                   desf=   0  ref=[+0.8284 +0.9739]  grafo=[0.8284, 0.974]
  mala         mp3_192k                   desf=   0  ref=[+0.8808 +0.0000]  grafo=[0.8808, 0.0]
  buena        mp3_q9                     desf=   0  ref=[+0.5044 +0.9127]  grafo=[0.5044, 0.9129]
  mala         mp3_q9                     desf=   0  ref=[+0.5044 +0.0000]  grafo=[0.5044, 0.0]
  buena        aac_32k                    desf=   0  ref=[+0.3397 +0.7804]  grafo=[0.3397, 0.7808]
  mala         aac_32k                    desf=   0  ref=[+0.3877 +0.0000]  grafo=[0.3877, 0.0]
  buena        aac_64k                    desf=   0  ref=[+0.4782 +0.8428]  grafo=[0.4782, 0.8431]
  mala         aac_64k                    desf=   0  ref=[+0.6441 +0.0000]  grafo=[0.6441, 0.0]
  buena        aac_192k                   desf=   0  ref=[+0.7014 +0.9442]  grafo=[0.7014, 0.9443]
  mala         aac_192k                   desf=   0  ref=[+0.8985 +0.0000]  grafo=[0.8985, 0.0]
  buena        flac                       desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         flac                       desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena        wav                        desf=   0  ref=[+1.0000 +1.0000]  grafo=[1.0, 1.0]
  mala         wav                        desf=   0  ref=[+1.0000 +0.0000]  grafo=[1.0, 0.0]
  buena_brutal brutal_lowpass500          desf=  17  ref=[+0.1966 +0.7937]  grafo=[0.0145, 0.6492]
  buena_brutal brutal_highpass3k          desf=  -1  ref=[+0.2340 +0.1361]  grafo=[0.1298, 0.0397]
  buena_brutal brutal_8khz                desf=   6  ref=[+0.2339 +0.5047]  grafo=[0.0498, 0.4268]
