patologico_escaneado pagina=465.84x645.12pt  img=[1294, 1792]  dpi_decl=[200.00001525878906, 200.00001525878906]  ppp_calc=200.0  ->  ppp200__patologico_escaneado.png 1294x1792
escaneado_d1         pagina=465.6x624.0pt  img=[970, 1300]  dpi_decl=[150.0, 150.0]  ppp_calc=150.0  ->  ppp150__escaneado_d1.png 970x1300
escaneado_d2         pagina=465.84x612.0pt  img=[647, 850]  dpi_decl=[100.00000762939453, 100.0]  ppp_calc=100.0  ->  ppp100__escaneado_d2.png 647x850
escaneado_d3         pagina=465.84x612.0pt  img=[647, 850]  dpi_decl=[100.00000762939453, 100.0]  ppp_calc=100.0  ->  ppp100__escaneado_d3.png 647x850
escaneado_d4         pagina=465.84x617.76pt  img=[1294, 1716]  dpi_decl=[200.00001525878906, 200.0]  ppp_calc=200.0  ->  ppp200__escaneado_d4.png 1294x1716
escaneado_d1         pagina=465.6x624.0pt  img=[970, 1300]  dpi_decl=[150.0, 150.0]  ppp_calc=150.0  ->  ppp200__escaneado_d1.png 1293x1733
escaneado_d2         pagina=465.84x612.0pt  img=[647, 850]  dpi_decl=[100.00000762939453, 100.0]  ppp_calc=100.0  ->  ppp200__escaneado_d2.png 1294x1700
escaneado_d3         pagina=465.84x612.0pt  img=[647, 850]  dpi_decl=[100.00000762939453, 100.0]  ppp_calc=100.0  ->  ppp200__escaneado_d3.png 1294x1700
escaneado_d4         pagina=465.84x617.76pt  img=[1294, 1716]  dpi_decl=[200.00001525878906, 200.0]  ppp_calc=200.0  ->  ppp280__escaneado_d4.png 1812x2402
